,F1-score,accuracy,sensitivity,specificity,auc,conf_matrix,params
tfidf 2grams RandomForest,0.9992,0.9986,0.9883,0.9996,0.9994,"[[20097     8]
 [   23  1944]]","{'vect__min_df': 5, 'clf__n_estimators': 60}"
count 2grams RandomForest,0.9991,0.9984,0.9883,0.9994,0.9991,"[[20093    12]
 [   23  1944]]","{'vect__min_df': 1, 'clf__n_estimators': 60}"
count 1grams RandomForest,0.9991,0.9984,0.9898,0.9993,0.9994,"[[20090    15]
 [   20  1947]]","{'vect__min_df': 1, 'clf__n_estimators': 60}"
tfidf 1grams RandomForest,0.9991,0.9983,0.9929,0.9989,0.9992,"[[20082    23]
 [   14  1953]]","{'vect__min_df': 40, 'clf__n_estimators': 60}"
tfidf 2grams Logistic,0.999,0.9981,0.9853,0.9994,0.9995,"[[20093    12]
 [   29  1938]]","{'vect__min_df': 1, 'clf__C': 1000}"
count 2grams Logistic,0.9988,0.9979,0.9797,0.9997,0.9981,"[[20098     7]
 [   40  1927]]","{'vect__min_df': 20, 'clf__C': 10}"
tfidf 3grams Logistic,0.9988,0.9977,0.9776,0.9997,0.9996,"[[20099     6]
 [   44  1923]]","{'vect__min_df': 1, 'clf__C': 1000}"
count 2grams SVM,0.9988,0.9977,0.9792,0.9996,0.9986,"[[20096     9]
 [   41  1926]]","{'vect__min_df': 5, 'clf__gamma': 0.001, 'clf__C': 100, 'clf__kernel': 'rbf'}"
tfidf 3grams RandomForest,0.9987,0.9976,0.9751,0.9998,0.9991,"[[20100     5]
 [   49  1918]]","{'vect__min_df': 5, 'clf__n_estimators': 60}"
count 1grams SVM,0.9985,0.9973,0.9802,0.999,0.9979,"[[20085    20]
 [   39  1928]]","{'vect__min_df': 5, 'clf__gamma': 0.001, 'clf__C': 100, 'clf__kernel': 'rbf'}"
count 3grams RandomForest,0.9985,0.9972,0.972,0.9997,0.9991,"[[20098     7]
 [   55  1912]]","{'vect__min_df': 5, 'clf__n_estimators': 60}"
count 3grams Logistic,0.9984,0.9971,0.9705,0.9998,0.9981,"[[20100     5]
 [   58  1909]]","{'vect__min_df': 2, 'clf__C': 10}"
custom RandomForest,0.9983,0.9969,0.9781,0.9987,0.9986,"[[20079    26]
 [   43  1924]]",{'n_estimators': 40}
tfidf 2grams SVM,0.9982,0.9967,0.9675,0.9996,0.9991,"[[20096     9]
 [   64  1903]]","{'vect__min_df': 5, 'clf__gamma': 0.001, 'clf__C': 100, 'clf__kernel': 'rbf'}"
count 3grams SVM,0.9982,0.9967,0.969,0.9994,0.9976,"[[20093    12]
 [   61  1906]]","{'vect__min_df': 5, 'clf__gamma': 0.001, 'clf__C': 100, 'clf__kernel': 'rbf'}"
count 1grams Logistic,0.998,0.9964,0.9634,0.9996,0.9969,"[[20097     8]
 [   72  1895]]","{'vect__min_df': 40, 'clf__C': 10}"
tfidf 1grams Logistic,0.9979,0.9961,0.9675,0.9989,0.998,"[[20083    22]
 [   64  1903]]","{'vect__min_df': 1, 'clf__C': 1000}"
tfidf 3grams MultinomialNB,0.9978,0.9961,0.9766,0.998,0.9991,"[[20064    41]
 [   46  1921]]",{'vect__min_df': 2}
tfidf 2grams MultinomialNB,0.9976,0.9957,0.969,0.9983,0.998,"[[20070    35]
 [   61  1906]]",{'vect__min_df': 2}
tfidf 3grams SVM,0.9972,0.995,0.9471,0.9997,0.9981,"[[20098     7]
 [  104  1863]]","{'vect__min_df': 5, 'clf__gamma': 0.001, 'clf__C': 100, 'clf__kernel': 'rbf'}"
tfidf 1grams SVM,0.9968,0.9942,0.9492,0.9987,0.9964,"[[20078    27]
 [  100  1867]]","{'vect__min_df': 5, 'clf__gamma': 0.001, 'clf__C': 100, 'clf__kernel': 'rbf'}"
count 2grams MultinomialNB,0.9968,0.9941,0.9781,0.9957,0.9893,"[[20018    87]
 [   43  1924]]",{'vect__min_df': 1}
custom SVM,0.9968,0.9941,0.9853,0.995,0.9977,"[[20004   101]
 [   29  1938]]","{'kernel': 'rbf', 'C': 100, 'gamma': 'auto'}"
count 3grams MultinomialNB,0.9965,0.9936,0.9817,0.9947,0.9977,"[[19999   106]
 [   36  1931]]",{'vect__min_df': 1}
custom MLPClassifier,0.996,0.9928,0.9548,0.9965,0.9976,"[[20035    70]
 [   89  1878]]","{'hidden_layer_sizes': (300, 200, 150, 150), 'momentum': 0, 'learning_rate': 'invscaling', 'alpha': 0.01, 'learning_rate_init': 0.001}"
tfidf 1grams MultinomialNB,0.9951,0.9911,0.9273,0.9973,0.9927,"[[20051    54]
 [  143  1824]]",{'vect__min_df': 1}
count 1grams MultinomialNB,0.995,0.9909,0.9624,0.9937,0.9763,"[[19979   126]
 [   74  1893]]",{'vect__min_df': 20}
custom AdaBoostClassifier,0.9943,0.9897,0.9304,0.9955,0.9978,"[[20014    91]
 [  137  1830]]","{'learning_rate': 1.0, 'n_estimators': 100}"
custom DecisionTree,0.9939,0.9889,0.8958,0.998,0.9909,"[[20065    40]
 [  205  1762]]",{'min_samples_split': 2}
custom Logistic,0.9915,0.9845,0.8622,0.9964,0.9902,"[[20033    72]
 [  271  1696]]",{'C': 100}
custom SGD,0.9899,0.9816,0.8775,0.9918,0.9846,"[[19940   165]
 [  241  1726]]",{'learning_rate': 'optimal'}
custom MultinomialNB,0.957,0.9243,0.9161,0.9251,0.9713,"[[18600  1505]
 [  165  1802]]",{'alpha': 1.0}
